cohort_month,cohort_index,customers_count,cohort_size,retention_rate
2017-01-01 00:00:00,0,717,717,1.0
2017-01-01 00:00:00,1,2,717,0.00279
2017-01-01 00:00:00,2,2,717,0.00279
2017-01-01 00:00:00,3,1,717,0.00139
2017-01-01 00:00:00,4,3,717,0.00418
2017-01-01 00:00:00,5,1,717,0.00139
2017-01-01 00:00:00,6,3,717,0.00418
2017-01-01 00:00:00,7,1,717,0.00139
2017-01-01 00:00:00,8,1,717,0.00139
2017-01-01 00:00:00,10,3,717,0.00418
2017-01-01 00:00:00,11,1,717,0.00139
2017-01-01 00:00:00,12,5,717,0.00697
2017-01-01 00:00:00,13,3,717,0.00418
2017-01-01 00:00:00,14,1,717,0.00139
2017-01-01 00:00:00,15,1,717,0.00139
2017-01-01 00:00:00,16,2,717,0.00279
2017-01-01 00:00:00,17,3,717,0.00418
2017-01-01 00:00:00,19,1,717,0.00139
2017-02-01 00:00:00,0,1628,1628,1.0
2017-02-01 00:00:00,1,3,1628,0.00184
2017-02-01 00:00:00,2,5,1628,0.00307
2017-02-01 00:00:00,3,2,1628,0.00123
2017-02-01 00:00:00,4,7,1628,0.0043
2017-02-01 00:00:00,5,2,1628,0.00123
2017-02-01 00:00:00,6,4,1628,0.00246
2017-02-01 00:00:00,7,3,1628,0.00184
2017-02-01 00:00:00,8,2,1628,0.00123
2017-02-01 00:00:00,9,3,1628,0.00184
2017-02-01 00:00:00,10,2,1628,0.00123
2017-02-01 00:00:00,11,5,1628,0.00307
2017-02-01 00:00:00,12,2,1628,0.00123
2017-02-01 00:00:00,13,3,1628,0.00184
2017-02-01 00:00:00,14,2,1628,0.00123
2017-02-01 00:00:00,15,1,1628,0.00061
2017-02-01 00:00:00,16,1,1628,0.00061
2017-02-01 00:00:00,17,3,1628,0.00184
2017-03-01 00:00:00,0,2503,2503,1.0
2017-03-01 00:00:00,1,11,2503,0.00439
2017-03-01 00:00:00,2,9,2503,0.0036
2017-03-01 00:00:00,3,10,2503,0.004
2017-03-01 00:00:00,4,9,2503,0.0036
2017-03-01 00:00:00,5,4,2503,0.0016
2017-03-01 00:00:00,6,4,2503,0.0016
2017-03-01 00:00:00,7,8,2503,0.0032
2017-03-01 00:00:00,8,8,2503,0.0032
2017-03-01 00:00:00,9,2,2503,0.0008
2017-03-01 00:00:00,10,9,2503,0.0036
2017-03-01 00:00:00,11,3,2503,0.0012
2017-03-01 00:00:00,12,5,2503,0.002
2017-03-01 00:00:00,13,3,2503,0.0012
2017-03-01 00:00:00,14,4,2503,0.0016
2017-03-01 00:00:00,15,6,2503,0.0024
2017-03-01 00:00:00,16,2,2503,0.0008
2017-03-01 00:00:00,17,3,2503,0.0012
2017-04-01 00:00:00,0,2256,2256,1.0
2017-04-01 00:00:00,1,14,2256,0.00621
2017-04-01 00:00:00,2,5,2256,0.00222
2017-04-01 00:00:00,3,4,2256,0.00177
2017-04-01 00:00:00,4,6,2256,0.00266
2017-04-01 00:00:00,5,6,2256,0.00266
2017-04-01 00:00:00,6,8,2256,0.00355
2017-04-01 00:00:00,7,7,2256,0.0031
2017-04-01 00:00:00,8,7,2256,0.0031
2017-04-01 00:00:00,9,4,2256,0.00177
2017-04-01 00:00:00,10,6,2256,0.00266
2017-04-01 00:00:00,11,2,2256,0.00089
2017-04-01 00:00:00,12,1,2256,0.00044
2017-04-01 00:00:00,13,1,2256,0.00044
2017-04-01 00:00:00,14,2,2256,0.00089
2017-04-01 00:00:00,15,2,2256,0.00089
2017-04-01 00:00:00,16,3,2256,0.00133
2017-05-01 00:00:00,0,3451,3451,1.0
2017-05-01 00:00:00,1,16,3451,0.00464
2017-05-01 00:00:00,2,16,3451,0.00464
2017-05-01 00:00:00,3,10,3451,0.0029
2017-05-01 00:00:00,4,10,3451,0.0029
2017-05-01 00:00:00,5,11,3451,0.00319
2017-05-01 00:00:00,6,14,3451,0.00406
2017-05-01 00:00:00,7,5,3451,0.00145
2017-05-01 00:00:00,8,9,3451,0.00261
2017-05-01 00:00:00,9,9,3451,0.00261
2017-05-01 00:00:00,10,9,3451,0.00261
2017-05-01 00:00:00,11,12,3451,0.00348
2017-05-01 00:00:00,12,8,3451,0.00232
2017-05-01 00:00:00,13,1,3451,0.00029
2017-05-01 00:00:00,14,6,3451,0.00174
2017-05-01 00:00:00,15,7,3451,0.00203
2017-06-01 00:00:00,0,3037,3037,1.0
2017-06-01 00:00:00,1,15,3037,0.00494
2017-06-01 00:00:00,2,12,3037,0.00395
2017-06-01 00:00:00,3,13,3037,0.00428
2017-06-01 00:00:00,4,9,3037,0.00296
2017-06-01 00:00:00,5,12,3037,0.00395
2017-06-01 00:00:00,6,11,3037,0.00362
2017-06-01 00:00:00,7,7,3037,0.0023
2017-06-01 00:00:00,8,4,3037,0.00132
2017-06-01 00:00:00,9,6,3037,0.00198
2017-06-01 00:00:00,10,9,3037,0.00296
2017-06-01 00:00:00,11,11,3037,0.00362
2017-06-01 00:00:00,12,5,3037,0.00165
2017-06-01 00:00:00,13,5,3037,0.00165
2017-06-01 00:00:00,14,7,3037,0.0023
2017-07-01 00:00:00,0,3752,3752,1.0
2017-07-01 00:00:00,1,20,3752,0.00533
2017-07-01 00:00:00,2,13,3752,0.00346
2017-07-01 00:00:00,3,9,3752,0.0024
2017-07-01 00:00:00,4,11,3752,0.00293
2017-07-01 00:00:00,5,8,3752,0.00213
2017-07-01 00:00:00,6,12,3752,0.0032
2017-07-01 00:00:00,7,4,3752,0.00107
2017-07-01 00:00:00,8,7,3752,0.00187
2017-07-01 00:00:00,9,10,3752,0.00267
2017-07-01 00:00:00,10,8,3752,0.00213
2017-07-01 00:00:00,11,11,3752,0.00293
2017-07-01 00:00:00,12,5,3752,0.00133
2017-07-01 00:00:00,13,9,3752,0.0024
2017-08-01 00:00:00,0,4057,4057,1.0
2017-08-01 00:00:00,1,28,4057,0.0069
2017-08-01 00:00:00,2,14,4057,0.00345
2017-08-01 00:00:00,3,11,4057,0.00271
2017-08-01 00:00:00,4,14,4057,0.00345
2017-08-01 00:00:00,5,21,4057,0.00518
2017-08-01 00:00:00,6,12,4057,0.00296
2017-08-01 00:00:00,7,11,4057,0.00271
2017-08-01 00:00:00,8,6,4057,0.00148
2017-08-01 00:00:00,9,6,4057,0.00148
2017-08-01 00:00:00,10,10,4057,0.00246
2017-08-01 00:00:00,11,8,4057,0.00197
2017-08-01 00:00:00,12,5,4057,0.00123
2017-09-01 00:00:00,0,4004,4004,1.0
2017-09-01 00:00:00,1,28,4004,0.00699
2017-09-01 00:00:00,2,22,4004,0.00549
2017-09-01 00:00:00,3,11,4004,0.00275
2017-09-01 00:00:00,4,18,4004,0.0045
2017-09-01 00:00:00,5,9,4004,0.00225
2017-09-01 00:00:00,6,9,4004,0.00225
2017-09-01 00:00:00,7,10,4004,0.0025
2017-09-01 00:00:00,8,11,4004,0.00275
2017-09-01 00:00:00,9,7,4004,0.00175
2017-09-01 00:00:00,10,10,4004,0.0025
2017-09-01 00:00:00,11,3,4004,0.00075
2017-10-01 00:00:00,0,4328,4328,1.0
2017-10-01 00:00:00,1,31,4328,0.00716
2017-10-01 00:00:00,2,11,4328,0.00254
2017-10-01 00:00:00,3,4,4328,0.00092
