purchase_month,orders_count,unique_customers,product_revenue,average_order_value,average_delivery_days,late_delivery_rate_percent,average_review_score
2017-01-01 00:00:00,750,718,111798.36,149.06,12.65,3.07,4.199
2017-02-01 00:00:00,1653,1630,234223.4,141.7,13.17,3.21,4.203
2017-03-01 00:00:00,2546,2508,359198.85,141.08,12.95,5.58,4.187
2017-04-01 00:00:00,2303,2274,340669.68,147.92,14.92,7.86,4.138
2017-05-01 00:00:00,3546,3479,489338.25,138.0,11.32,3.61,4.238
2017-06-01 00:00:00,3135,3076,421923.37,134.58,12.01,3.86,4.223
2017-07-01 00:00:00,3872,3802,481604.52,124.38,11.59,3.43,4.258
2017-08-01 00:00:00,4193,4114,554699.7,132.29,11.15,3.32,4.312
2017-09-01 00:00:00,4150,4083,607399.67,146.36,11.85,5.2,4.267
2017-10-01 00:00:00,4478,4417,648247.65,144.76,11.86,5.29,4.205
2017-11-01 00:00:00,7289,7183,987765.37,135.51,15.16,14.31,3.989
2017-12-01 00:00:00,5513,5450,726033.19,131.69,15.39,8.38,4.09
2018-01-01 00:00:00,7069,6974,924645.0,130.8,14.08,6.56,4.109
2018-02-01 00:00:00,6555,6400,826437.13,126.08,16.95,15.99,3.882
2018-03-01 00:00:00,7003,6914,953356.25,136.14,16.3,21.36,3.813
2018-04-01 00:00:00,6798,6744,973534.09,143.21,11.5,5.31,4.206
2018-05-01 00:00:00,6749,6693,977544.69,144.84,11.42,8.24,4.236
2018-06-01 00:00:00,6099,6061,856077.86,140.36,9.24,1.36,4.307
2018-07-01 00:00:00,6159,6100,867953.46,140.92,8.96,4.48,4.318
2018-08-01 00:00:00,6351,6310,838576.64,132.04,7.73,10.39,4.31
