customer_state,orders_count,average_delivery_days,late_delivery_rate_percent,average_review
AL,397,24.54,23.93,3.853
MA,717,21.57,19.67,3.834
PI,476,19.46,15.97,3.994
CE,1279,21.27,15.32,3.942
SE,335,21.52,15.22,3.907
BA,3256,19.34,14.04,3.93
RJ,12350,15.31,13.47,3.965
TO,274,17.66,12.77,4.154
PA,946,23.77,12.37,3.91
ES,1995,15.79,12.23,4.08
MS,701,15.62,11.55,4.16
PB,517,20.43,11.03,4.076
PE,1593,18.45,10.8,4.083
RN,474,19.28,10.76,4.15
SC,3546,14.95,9.76,4.133
GO,1957,15.61,8.18,4.104
RS,5345,15.3,7.15,4.186
DF,2080,12.97,7.07,4.134
MT,886,18.06,6.77,4.146
SP,40501,8.76,5.89,4.247
MG,11354,12.01,5.61,4.192
PR,4923,11.99,5.0,4.24
AM,145,26.43,4.14,4.243
RO,243,19.37,2.88,4.165
